category,top_keys
政治,"[('游錫堃', 8), ('侯友宜', 7), ('郭台銘', 5), ('高虹安', 5), ('柯文哲', 4), ('林右昌', 4), ('蔡英文', 2), ('賴清德', 1), ('江啟臣', 1), ('張志', 1), ('張志豪', 1), ('邱臣遠', 1), ('邱顯智', 1), ('陳亭妃', 1), ('Nancy Pelosi', 1), ('麥考爾', 1), ('拉格', 1), ('laghe', 1), ('陳光誠', 1), ('傅崐萁', 1), ('何勝豐', 1)]"
科技,"[('熊芳芳', 2), ('哲庫', 1), ('黃昭穎', 1), ('劉思泰', 1)]"
運動,"[('詹姆斯', 9), ('納達爾', 8), ('約基奇', 4), ('莫瑞', 4), ('金塊', 3), ('戴維斯', 3), ('金鶯', 2), ('克里夫蘭', 1), ('佐科威', 1), ('idodo', 1), ('喬科維奇', 1), ('達爾', 1), ('艾卡拉茲', 1), ('梅迪維夫', 1), ('八村壘', 1), ('湖人', 1), ('布朗', 1), ('約基', 1), ('波特', 1), ('大谷翔平', 1), ('楚勞', 1), ('尼托（Zach Neto', 1), ('拉奇曼', 1), ('謝拉（Gio Urshela）', 1)]"
證卷,"[('焦佑倫', 3), ('亞馬遜', 1)]"
產經,"[('邱達生', 10), ('黃嘉能', 1), ('古國府昇', 1), ('川普', 1), ('亞達', 1)]"
娛樂,"[('劉志雄', 9), ('洪榮宏', 7), ('嚴正嵐', 5), ('姚淳耀', 4), ('張瀞云', 3), ('市川', 3), ('庹宗康', 2), ('姚元浩', 2), ('李玉璽', 2), ('張立東', 2), ('楊麗音', 2), ('林宏銘', 1), ('川段四郎', 1), ('強尼喜多川', 1), ('小傑', 1), ('茱莉景子', 1), ('段四郎', 1), ('澤直樹', 1), ('香川', 1), ('莎莎', 1), ('婁峻碩', 1), ('鹿希派', 1), ('韓國', 1), ('汪秀賢', 1), ('洪伯豪', 1), ('黃駿傑', 1), ('馬力歐', 1), ('百白', 1), ('李冠毅', 1), ('蔡昌憲', 1), ('張寗', 1), ('楊烈', 1), ('陳孝萱', 1), ('邱宇辰', 1), ('陳立庭', 1)]"
生活,"[('廖經翔', 3), ('何美鄉', 2), ('鄧筑媛', 2), ('簡佳裕', 1), ('羅生技', 1), ('張哲瑋', 1), ('羅一鈞', 1), ('朱一宸', 1), ('李炎任', 1)]"
國際,"[('麥卡錫', 4), ('金正恩', 2), ('奈特', 1), ('Dion Bennett', 1), ('麥卡錫（Kevin McCarthy）', 1), ('布朗（Jerry Brown', 1), ('季里普', 1), ('麥考爾', 1)]"
社會,"[('蔡男', 7), ('梁男', 3), ('江永昌', 2), ('宋男', 1), ('李德維', 1), ('吳玉琴', 1)]"
文化,"[('朱宗慶', 9), ('吳曜宇', 9), ('孟德爾頌', 6), ('鄭榮興', 5), ('史哲', 4), ('魏德曼', 3), ('連錦漳', 2), ('孟德爾', 2), ('蘇思羽', 2), ('蕭宗煌', 1), ('臧振華', 1), ('劉櫂豪', 1), ('王志輝', 1), ('西奧多‧米爾科夫', 1), ('櫻井弘', 1), ('浩漢', 1), ('巴赫', 1), ('舒伯特', 1), ('舒曼', 1), ('林品任', 1)]"
兩岸,"[('吳靄儀', 4), ('湯家驊', 3), ('孫恒', 3), ('金庸', 2), ('區家麟', 2), ('夏寶龍', 2), ('張錫聰', 2), ('李家', 1), ('沈旭暉', 1), ('魯迅', 1), ('張欣宇', 1), ('詩歌', 1), ('王德志婉', 1), ('陳沛冰', 1), ('張淑伶', 1), ('馬曉光', 1), ('張錫', 1)]"
