category,top_keys
政治,"[('台灣', 14), ('總統', 10), ('國家', 9), ('游錫堃', 8), ('侯友宜', 7), ('問題', 7), ('政府', 7), ('訓練', 7), ('民眾', 6), ('張志豪', 6), ('中心', 6), ('郭台銘', 5), ('國民黨', 5), ('高虹安', 5), ('表現', 5), ('建設', 5), ('國會', 5), ('中國', 4), ('黨主席', 4), ('柯文哲', 4), ('媒體', 4), ('成果', 4), ('社會', 4), ('方面', 4), ('林右昌', 4), ('鴻海', 3), ('新竹', 3), ('橋梁', 3), ('政黨', 3), ('民進黨', 3)]"
科技,"[('哲庫', 19), ('公司', 15), ('功能', 15), ('晶片', 15), ('技術', 9), ('半導體', 9), ('科技', 8), ('中國', 8), ('蘋果', 7), ('員工', 7), ('手機', 7), ('工程師', 6), ('程式', 5), ('美國', 5), ('人員', 5), ('獵人頭', 5), ('人才', 5), ('晶圓廠', 5), ('宏達電', 5), ('機器人', 4), ('智慧', 4), ('數據', 4), ('設計', 4), ('團隊', 4), ('全球', 4), ('設備', 4), ('系列', 4), ('手語', 4), ('語音', 4), ('應用', 3)]"
運動,"[('金塊', 15), ('湖人', 13), ('印尼', 13), ('詹姆斯', 11), ('納達爾', 8), ('美國', 7), ('足球隊', 7), ('法網', 7), ('天使', 7), ('比賽', 6), ('三分球', 6), ('西區', 5), ('冠軍賽', 5), ('生涯', 5), ('籃板', 5), ('約基奇', 5), ('季後賽', 4), ('國家', 4), ('東南亞', 4), ('運動會', 4), ('金牌', 4), ('冠軍', 4), ('球迷', 4), ('網球', 4), ('公開賽', 4), ('維斯', 4), ('安打', 4), ('大谷', 4), ('洛杉磯', 3), ('系列賽', 3)]"
證卷,"[('華新', 9), ('台灣', 8), ('指數', 7), ('事業', 7), ('股價', 6), ('漲幅', 6), ('產業', 6), ('美國', 5), ('市場', 5), ('銅條廠', 5), ('創意', 4), ('世芯-KY', 4), ('跌幅', 4), ('電纜', 4), ('太陽能', 4), ('資金', 3), ('營收', 3), ('新台幣', 3), ('金融股', 3), ('個股', 3), ('台股', 3), ('產品', 3), ('焦佑倫', 3), ('不銹鋼', 3), ('東莞', 3), ('原料', 3), ('生鐵', 3), ('輝達', 2), ('題材', 2), ('天價', 2)]"
產經,"[('台灣', 18), ('貿易', 18), ('美國', 13), ('邱達生', 10), ('協定', 9), ('開價', 8), ('戶數', 7), ('導線架', 6), ('長科', 5), ('庫存', 5), ('建商', 5), ('台美', 5), ('經貿', 5), ('廠房', 4), ('客戶', 4), ('科技', 4), ('議題', 4), ('關係', 4), ('標準', 4), ('企業', 4), ('經濟', 4), ('服務業', 4), ('談判', 4), ('內容', 4), ('偉詮電', 4), ('高雄', 3), ('產品', 3), ('新聞稿', 3), ('新台幣', 3), ('長華', 3)]"
娛樂,"[('劉志雄', 10), ('節目', 9), ('洪榮宏', 7), ('師傅', 7), ('嚴正嵐', 6), ('專輯', 5), ('傑尼斯', 5), ('鬼鬼', 5), ('婆婆', 5), ('生活', 4), ('市川猿之助', 4), ('醜聞', 4), ('事務所', 4), ('楊麗音', 4), ('姚淳耀', 4), ('醫師', 3), ('記者會', 3), ('日本', 3), ('事件', 3), ('寶塚', 3), ('歌舞伎圈', 3), ('市川', 3), ('浩子', 3), ('庹宗康', 3), ('炎亞綸', 3), ('意外', 3), ('室友', 3), ('工作', 3), ('製作人', 3), ('捷運', 3)]"
生活,"[('腸病毒', 20), ('月票', 15), ('病毒', 13), ('水庫', 12), ('台灣', 9), ('鋒面', 9), ('縣市', 8), ('公路', 8), ('總局', 8), ('疫苗', 7), ('同志', 6), ('生活圈', 6), ('社會', 5), ('態度', 5), ('地區', 5), ('作業', 5), ('整體', 4), ('中央', 4), ('衛福部', 4), ('重症', 4), ('彩虹', 4), ('議題', 4), ('政策', 4), ('民眾', 4), ('氣象局', 4), ('雷雨', 4), ('湖山', 4), ('方案', 4), ('工作', 3), ('小組', 3)]"
國際,"[('美國', 17), ('國會', 15), ('烏克蘭', 12), ('北韓', 9), ('加州', 8), ('聯邦', 7), ('債務', 7), ('政府', 7), ('官員', 7), ('男子', 6), ('眾議院', 6), ('法案', 6), ('員工', 6), ('五角大廈', 6), ('價格', 6), ('裝備', 6), ('旅館', 5), ('警方', 5), ('行動', 5), ('武器', 5), ('麥卡錫', 5), ('業者', 5), ('國防', 5), ('軍事', 4), ('共和黨', 4), ('議員', 4), ('參議院', 4), ('高溫', 4), ('職災', 4), ('溫度', 4)]"
社會,"[('警方', 12), ('行人', 10), ('蔡男', 7), ('規定', 5), ('立委', 5), ('銀樓', 5), ('梁男', 4), ('台中市', 4), ('交通', 4), ('王男', 4), ('人口', 4), ('國際', 4), ('集團', 4), ('台鐵局', 4), ('機車', 3), ('原因', 3), ('行為', 3), ('民眾', 3), ('警車', 3), ('員警', 3), ('政府', 3), ('自強號', 3), ('瓦斯', 3), ('鋼瓶', 3), ('男子', 3), ('花蓮', 2), ('路段', 2), ('電線桿', 2), ('後座', 2), ('學生', 2)]"
文化,"[('台灣', 19), ('文化', 10), ('孟德爾頌', 10), ('國際', 9), ('朱宗慶', 9), ('音樂會', 9), ('吳曜宇', 9), ('音樂家', 8), ('音樂', 8), ('史前館', 7), ('打擊樂節', 7), ('藝術', 7), ('客家', 7), ('世界', 6), ('疫情', 6), ('設計展', 6), ('設計', 6), ('中心', 5), ('演出', 5), ('觀眾', 5), ('國家', 5), ('設計區', 5), ('學生', 5), ('作品', 5), ('永福', 5), ('國小', 5), ('柏林', 5), ('鄭榮興', 5), ('德國', 5), ('主題', 4)]"
兩岸,"[('香港', 23), ('中國', 18), ('美國', 18), ('圖書館', 16), ('政治', 11), ('報告', 11), ('書籍', 10), ('台灣', 10), ('博物館', 10), ('外交', 8), ('北京', 7), ('工友', 6), ('國際', 5), ('文化', 5), ('大陸', 4), ('吳靄儀', 4), ('情況', 4), ('國家', 4), ('思路', 4), ('新華社', 4), ('事實', 4), ('皮村', 4), ('歷史', 4), ('學者', 3), ('館藏', 3), ('區家麟', 3), ('金庸', 3), ('作品', 3), ('網站', 3), ('故事', 3)]"
全部,"[('台灣', 81), ('美國', 70), ('中國', 32), ('國際', 26), ('國家', 25), ('公司', 25), ('香港', 23), ('政府', 22), ('貿易', 22), ('國會', 20), ('腸病毒', 20), ('哲庫', 19), ('媒體', 18), ('晶片', 18), ('警方', 18), ('病毒', 16), ('圖書館', 16), ('總統', 15), ('水庫', 15), ('世界', 15), ('功能', 15), ('金塊', 15), ('月票', 15), ('文化', 15), ('民眾', 14), ('經濟', 14), ('科技', 14), ('印尼', 14), ('報告', 14), ('產業', 13)]"
