item_id|date|category|title|content|link|photo_link
眼睛紅_20210221_1|2021-02-21|眼睛紅|眼睛紅卻不痛不癢？你可能是「結膜下出血」，原因、解方一次看 ...|小露一早起床照鏡子時發現自己的眼睛紅紅的，眼白的地方像是在流血一樣，但不痛也不癢，除了紅紅的看起來很恐怖，也沒有其他不舒服的感覺，眼科醫師說這是結膜下出血，主要是因為太過勞累，請小露要多休息。結膜下出血是什麼？簡單來說，結膜下出血是眼睛的微血管破裂，血流到眼球和結膜之間，眼白的地方像是被血染紅了一樣。結膜下出血除了眼睛紅紅的之外，幾乎不會有其他像是腫、痛、癢不舒服的感覺，也不會影響視力，看東西一樣可以很清楚。造成結膜下出血的原因：過度用力：劇烈咳嗽、用力解便、搬重物、有外力衝擊導致微血管破裂。揉眼睛：揉眼會壓迫眼球，當眼球被擠壓血管就容易出血。氣溫變化太大：忽冷忽熱，眼睛的血管無法正常收縮也可能會發生血管破裂的情形。而若有合併眼球外傷，就要做比較詳細的檢查，看看是否為鞏膜裂傷或是眼球鈍挫傷，而非單純的結膜下出血。另外，如果一直反覆出現結膜下出血，則很可能跟全身性的疾病有關，像是高血壓、糖尿病會讓血管的彈性變差、構造變脆弱，血管也因此一受到刺激就容易破裂。結膜下出血要怎麼預防？結膜下出血通常會在 7 到 12 天內自行吸收，眼白上的血塊會慢慢散開，由血紅色轉為黃棕色到完全消失，通常不需要做特別的治療，就像瘀青也會自己慢慢好起來一樣。要預防結膜下出血，就要保護好眼睛的血管。避免讓身體的各個部位過度用力：用力憋氣、用力咳嗽、嘔吐、用力解便都算是過度用力。若有便秘的情形，可以多吃蔬菜水果、多補充水分、多運動，必要時可以請醫師開立軟便劑。避免揉眼：有意識的注意到自己是否有用手揉眼睛，養成不要用手摸眼睛的習慣。避免讓眼睛直吹冷風：氣溫突然變低，血管突然收縮，血壓急速上升就可能使血管突然爆開、出血，可以戴上墨鏡或是天冷風大就盡量不要出門。控制血壓、血糖：平時做好體重控制、規律運動、多吃粗食和蔬菜，以少油、少鹽、少糖、高纖維的食材為主。單純的結膜下出血並非嚴重的疾病，多休息、不要讓眼睛過勞，讓眼睛的血管保持在一個良好的狀態，就不會輕易發生結膜下出血的情況。參考資料：高醫醫訊月刊|https://heho.com.tw/archives/157395|https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSZRQPqWGb5mSieKzMTrjKScxeunV_AB6qeWA0affA_pRQ9nPG3oM9U8GQ
眼睛紅_20210218_2|2021-02-18|眼睛紅|「紅眼睛」是角膜炎、結膜炎？一圖看懂兩種眼疾差異、治療方法 ...|眼睛好癢伴隨著刺痛感，沒想到越去揉眼睛，反而越紅腫，進而出現嚇人的紅眼，大部分的人第一直覺都覺得是「結膜炎」釀禍，但其實也有可能是「角膜炎」，兩者都有可能出現紅眼睛，但兩者疾病不僅治療方法不同，連嚴重程度也大不相同。結膜炎、角膜炎預後大不同正看眼睛黑白分明，包含了中間黑色的角膜，與旁邊白色的結膜，事實上結膜、角膜都是眼睛的重要構造，中國醫大新竹附醫眼科主任陳瑩山解釋：「由於角膜內面包含了光線進入眼底的瞳孔，所以會影響視力的是角膜炎。至於結膜是一種黏膜組織，包含血管，通常比較紅的是結膜炎。」只是結膜和角膜是相連接，兩者會互相影響，陳瑩山主任分析：「結膜炎的話眼睛的血管會嚴重充血，但如果發炎嚴重的話是會拓展到中間角膜，跑進去以後就會出現角膜炎、角膜破皮、如果嚴重造成角膜潰瘍，因為這些位置都在瞳孔的前面，因此才有可能會影響視力。」角膜炎較嚴重可能影響視力因此當眼睛開始出現不適，第一時間還是盡快到醫院給醫師檢查，有些病是從角膜來影響到結膜，有些病是從結膜影響到角膜，但陳瑩山主任坦言：「依照嚴重度來講角膜炎當然會比結膜炎嚴重，角膜炎一旦發生通常較為嚴重，對視力影響較大。」結膜炎比較容易判別，雙眼會充滿血絲，角膜炎沒有影響到結膜時，要判斷就一定要到眼科，陳瑩山主任說：「要用裂隙燈去做檢測、染色，才能判斷角膜炎。通常角膜細胞5到10天就會更新，如果只是輕微有點破皮感到疼痛，等到角膜會長出新生細胞，會就逐漸不痛了。」角膜炎、結膜炎皆有機會傳染只是過往如果罹患急性結膜炎，都有風險傳染給家人，陳瑩山主任解釋：「因為結膜炎大部分都是病毒細菌引起，接觸感染手碰到病毒後又揉眼睛，因此預防之道就是不要用手碰眼睛。」尤其與急性結膜炎家人同住時，就要避免共用同條毛巾。角膜炎可能由於乾眼症、揉眼睛所造成的，或是因為戴隱形眼鏡細菌感染，但如果是病毒、細菌引起的角膜炎也一樣會傳染，最好的方法還是勤洗手、避免去揉眼睛，有戴隱形眼鏡的民眾應該做好清潔及保養。陳瑩山醫師小檔案|https://heho.com.tw/archives/81551|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm0GdwdaoePnVFXbH0bNhddRkeo-ykXBa8qhFBKa91CfRf89l3IAJkq_U
眼睛紅_20190821_3|2019-08-21|眼睛紅|常常眼睛紅紅、帶血絲？比起點眼藥水這2招更有效！ - Heho健康|雖然大家會說眼睛是我們的「靈魂之窗」，但卻很少人會每天盯著自己的眼睛觀察，總是要別人大叫「哇，你的眼睛怎麼這麼紅！」才發現自己已經變得像小白兔一樣。不過眼睛紅雖然是很常見的症狀，但沒有癢、沒有痛，很難有動力去看醫生，通常會變成買個眼藥水隨手點一下，只要眼睛不紅就好了，只是這樣可能會忽略眼睛紅帶給自己的警訊。眼睛紅的原因講到眼睛的問題，大家一定會想到3C產品。不論是低頭滑手機，還是上班打電腦，在一整天眼睛眨也不眨、使用過度之後，特別容易出現眼睛紅，眼藥水就成了辦公室常備的藥品，想到就拿起來點一下。但原本應該清澈、黑白分明、乾乾淨淨的眼睛，突然變紅，其實代表眼睛「正在流血」。可能是眼睛有外傷而出血，或是因為用眼過度、氧氣不夠，只好在眼睛後面長一些血管，叫更多氧氣過來幫忙代謝。不過那種一點、紅眼睛就消的眼藥水，其實大部分是「血管收縮劑」，這種感覺就像是，明明家裡已經又髒又亂，但不認真打掃，只把垃圾掃到沙發底下、看不到就好了。但根本的問題沒有解決，只會一直不斷出現，而且等到沙發底下滿了，垃圾還是會跑出來；就像等到身體撐不住了，眼睛的問題還是會浮現的。眼藥水點太多也可能眼睛紅！而點太多眼藥水，一方面眼睛新長出來的血管，會因為越來越習慣藥水的作用而感覺越來越沒效，甚至還會過敏；另一方面，眼睛旁邊還有許多管路，如果這些管線被阻塞的話，因為廢物代謝不出去，所以也會造成眼睛紅。像是眼睛旁邊有鼻淚管，如果點眼藥水的時候沒有按緊鼻淚管，讓眼藥水流進去，藥水會流到鼻子、嘴巴裡，還會在管路裡造成沈澱，如果又沒有適當清潔眼睛周圍，久而久之就變成眼睛的結石，自然常常覺得眼睛紅、乾癢。（參考閱讀：《乾眼症點人工淚液「根本沒用」？醫師：重要的是洗臉》）不過眼睛紅的時候，大部分的確是眼睛過度疲勞造成的，所以也不需要太緊張。如果沒有其他症狀，而且只是短暫的紅眼一下，可以先用冰毛巾冰敷10分鐘，讓眼睛的血管舒緩一下，再用熱毛巾熱敷10分鐘，放鬆眼睛的肌肉。另外，在洗臉的時候，也要記得洗乾淨眼睛周圍，清掉眼屎，如果可以的話，也能買眼周專用的清潔液，把多餘的髒污洗掉，尤其是有化妝的人；不過最重要的，還是要記得讓眼睛休息，不過如果這些都做到了，但眼睛紅還是持續超過1星期以上，建議還是早點去看醫生比較好，可能眼睛是真的有外傷，或是眼壓、血壓飆高的前兆。|https://heho.com.tw/archives/55186|https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQMVmXqdTiQ9CUvVFEwDquGUw4z4YEhslw6nA7N4rB1dmIwodIe7a5AiKQ
眼睛紅_20181128_4|2018-11-28|眼睛紅|早上起床眼睛紅紅，是乾眼症還是結膜炎？ - Heho健康|小威最近眼睛老是紅紅的，他覺得是乾眼問題，就去買了眼藥水回來點，結果隔了好幾天都沒有恢復，而且眼睛還越來越癢，他看了眼科之後才知道自己是結膜炎。眼睛紅紅的，到底是什麼問題？一般來說，眼睛應該是要純淨的、清澈，黑白分明，幾乎沒有血管，代謝的廢物、需要的營養，都透過眼睛的房水來交換；但是有時候會發現眼白的部分紅紅的，代表眼睛出現了不應該出現的血管，所以才會呈現血的顏色。但是會出現血管的原因很多種，可能是發炎或是感染，甚至是眼睛出血，所以不能以為紅紅的都是乾眼，自己買眼藥水來點可能讓感染更嚴重。眼睛紅可能的疾病一般來說，眼睛紅的時候如果還伴隨其他症狀，像是視力減退、畏光，可能是青光眼，如果有疼痛、流淚、分泌物變多，多半是發炎或是外傷造成，像是結膜炎、虹膜炎、眼瞼發炎、角膜受傷，甚至是眼球出血，或是結膜下出血。但是要特別注意的是，除了疼痛、流淚之外，會有畏光、視力減退症狀的虹膜炎，很容易被誤認為是結膜炎，但是延誤治療很可能併發白內障、青光眼，最後失明，所以眼睛畏光、視力減退千萬不要自己買藥點，要儘早看醫生。眼睛紅的特殊問題不過還有一個很特別的眼睛紅疾病，是「完全沒有」其他症狀的，就是結膜下出血，患者不會感覺眼睛有什麼異常，但是照鏡子的時候，因為會看到眼睛裡一團血、不是少少的血絲，所以很多人都會被嚇一跳。結膜下出血可能是外力造成，用力咳嗽、揉眼睛、上廁所，造成出血，或是服用抗凝血劑造成出血，一般來說不用特別擔心，因為眼睛可以自行吸收這塊「淤血」；但如果常常有這樣的情形，或是過了1~2星期都沒有痊癒，就要注意是不是有糖尿病、凝血功能差的疾病。另外，眼裂斑充血跟眼翳是結膜下組織的退化、增生，長期暴露在紫外線底下就容易造成這樣的問題，結膜下組織長到眼白上面，形成充血，造成眼睛紅，不過不會有太多的其他症狀，除非刺激到結膜發炎；如果問題反覆發生，可以考慮用手術切除，如果沒有影響到視力，基本上還是觀察為主。|https://heho.com.tw/archives/28892|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeUX2s_en7KwKHZ67Ofw3yXmXebtaFvYV7-TiUny1H4SxBswPuq-GRYoM
眼睛紅_20190525_5|2019-05-25|眼睛紅|洗完澡眼睛紅通通除了水跑進眼睛還有這個原因- Heho健康|大部分人都有過這樣的經驗，洗完澡後全身清爽，一照鏡子卻發現自己竟然像兔子一樣紅了眼，讓你忍不住擔心，是什麼造成這樣的「血輪眼」呢？其實，眼睛紅可以分成「充血性」的紅眼睛跟「出血性」的紅眼睛。所謂充血性紅眼睛指的是眼球的血管擴張，使得眼白的血絲呈放射狀分布；而出血性的紅眼睛則是眼球內血管破裂，造成大範圍充血，大多是因為外傷導致。洗澡水跑進眼睛是最常見原因洗澡後短暫的眼紅有幾種原因，首先是由於眼球中的液體與洗澡時的水濃度不同，當洗頭或是洗臉時，水流進眼睛，就會讓眼睛變紅。單純的水跑進眼睛，過了一段時間自然會好，但如果久久沒有恢復正常，很有可能就是因為水中的微生物感染眼睛，需要是情況就醫。不過，如果流進眼睛的不是單純的水，而是混入了洗髮精、洗面乳，因為含有具有刺激性的化學物質，更會造成眼睛紅、甚至疼痛。這時候可以使用生理食鹽水適量沖洗眼睛，幫助將化學物質帶離眼睛。如果出現眼睛紅腫、奇癢，說明可能出現了過敏症狀，就需要向眼科醫師求助了。配戴隱形眼鏡也會導致紅眼睛角膜的缺氧也會導致角膜周圍血管擴張，尤其是長期配戴隱形眼鏡。因為角膜的氧份主要來自大氣中氧，隱形眼鏡或是長期閉眼，水角膜得不到大氣的氧，於是角膜周邊的血管會擴張來供給角膜所需養份及氧氣，所以常常會覺得黑眼珠（角膜）旁邊有一圈紅紅的。如果戴著隱形眼鏡洗澡，除了鏡片會吸收自來水變硬、變緊外，即使自來水水源乾淨，也可能因為家中管線汙染，夾帶微生物、細菌或鐵鏽，這些髒東西碰觸到隱形眼鏡，細菌感染風險可能增加128倍，也會讓眼睛變紅。因此洗澡、游泳時，要儘量避免配戴隱形眼鏡。|https://heho.com.tw/archives/49906|https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ9fe3VUFrIGtEohv5XBHt7-uRo4lS2B8Dd0dGIkmCunpwC0wHYn5u72Ew
呼吸道感染_20221022_1|2022-10-22|呼吸道感染|緩解6 年咳嗽病史！秋冬上呼吸道感染症狀多，中醫治療這樣看- Heho ...|近期天氣變化大，一夜之間突然就要將冬衣一件件披上，隨之而來的是呼吸道感染患者如雨後春筍般冒出。醫師提醒，若出現久咳症狀，切記要及早就醫，把握治療時機，才能避免惡化或併發症的發生。首先了解一下「上呼吸道感染」包括哪些？從普通感冒、流行性感冒、鼻咽炎、扁桃腺炎及喉炎等都可以算是上呼吸道感染。感染的病原體以「病毒」為主，同時也會合併不同的症狀出現，較常見的就是咳嗽、喉嚨痛、流鼻水與鼻塞，或者是全身性的症狀，包含全身痠痛、疲倦、頭痛或發燒等。治療之前應先確認自己屬於哪一種疾病感染，再進行治療，千萬不要任意購買成藥，避免耽誤就醫。中醫「望聞問切」診察 施以個人化治療從中醫角度來看，上呼吸道感染屬於「外感」，是一種以風邪為主的疾病，同時也會因為每一個人的體質不同，而有不同的症狀表現。感冒會因不同體質，分為「風寒」或「風熱」。風熱會使喉嚨痛，但風寒也可能出現喉嚨痛！雖然症狀相同，但致病的因素卻大不相同。風寒甚至會出現怕冷、寒顫、肌肉緊繃僵硬等症狀；而風熱可能會出現怕熱、口乾舌燥、面色發紅、尿黃、煩躁等症狀。針對感冒治療，中醫強調的是多方蒐集病人資訊，例如望聞問切的診察蒐集，這樣才有助於準確判斷病人的狀態，並給予最適合個人的治療藥物。喉嚨痛引發後續咳嗽 中醫縮短病程免誘發過敏診間近期最常見的呼吸道感染屬於風寒感冒居多，許多患者都是因為著涼後出現感冒症狀，多數伴隨有喉嚨痛、鼻涕黏稠或痰稠難出的狀況，雖然都是風寒，卻偶爾兼夾「化熱」的現象，或許與秋季入冬、氣溫驟降，較容易促動人體的發炎免疫反應有關。此時的感冒治療，需要更細心地治療，除了風寒，也要針對化熱的狀況同步進行，更重要的是，需要避免病程的迅速轉變！因為一般感冒喉嚨痛會在消炎緩解過後，變成喉嚨癢的狀況，當喉嚨癢不停，就容易出現咳嗽不止的現象。所以在治療感冒的同時，也得預防後續咳嗽的發生，盡可能讓感冒的發病過程縮短，才能避免後續病根的拖延，也減少誘發呼吸系統過敏疾病的產生。緩解 6 年咳嗽病史 讓肺臟功能得以和諧運作門診曾有位 30 歲女性患者，就診時主訴易胸悶、喘氣，且已長達 2 個月之久！伴隨咳嗽咽癢、痰多黏稠、夜咳、鼻塞涕多、易口乾舌燥、口飲欲解、易煩躁、身微怕冷卻無汗出的症狀。過去病人約有 6 年氣喘病史，秋冬季節夜晚易發作，雖使用吸入性類固醇緩解咳嗽，但長期下來症狀仍反覆，發作頻率也無明顯下降。經中醫辨證乃屬痰熱內蘊、微惡風寒的哮喘證，使用中藥定喘湯或麻杏甘石湯的加減來作治療，搭配芍藥酸甘斂陰、緩解支氣管平滑肌痙攣，以及使用少量活血通瘀藥物來改善呼吸道發炎纖維化、增加局部循環及修復能力！在經過 3 至 4 周的調理後，咳嗽減緩、氣喘發作頻率減少 4 成左右，夜間睡眠時也較穩定，大大地增進了患者的日常生活品質。其他如感冒後咳嗽難癒、久咳痰飲壅盛的患者，使用桔梗、半夏、前胡、苦杏仁、乾薑、細辛、五味子等中藥配伍治療，達到溫化痰飲、調理肺氣宣發肅降的功能，使肺臟生理功能和諧運作，自然咳嗽症狀就可以減緩或消失。忌口辣味、炸物和冰品 修復黏膜組織免疫功能最後提醒，若因感冒而出現喉嚨痛、咳嗽等症狀，必須忌口重口味的食物，例如辣味、炸物，過鹹等食物都應避免，因為這些過度刺激的調味劑，不但會影響呼吸道黏膜的滲透壓，更會降低黏膜組織的免疫修復功能，當吃越多，喉嚨痛就好的越慢！此外，冰品也需要避免，雖然冰品剛飲用時會出現有如「冰鎮」的狀態，讓痛感暫時停止，但當黏膜的血流量減少，長久如此，喉嚨要修復健全的時間可能會因此被延誤！|https://heho.com.tw/archives/246508|https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQXLMj4AwV_90Etm1-E43FhahuL5isxvbhd00I2orWBjksfwVOjJtr6cWI
呼吸道感染_20221009_2|2022-10-09|呼吸道感染|小小孩的呼吸道殺手！認識「呼吸道融合病毒」 - Heho健康|對身體發展和免疫力尚未成熟的嬰幼兒來說，環境中潛藏許多的危險，其中呼吸道融合病毒（RSV）是造成兩歲以下小孩住院的常見原因之一，到底呼吸道融合病毒是什麼？為什麼對嬰幼兒來說如此致命呢？認識「呼吸道融合病毒」呼吸道融合病毒（RSV）是屬於一種副黏液病毒，感染後最常影響患者的下呼吸道。在溫帶地區通常在每年冬季之後是好發時期，會有季節性的流行，但因為臺灣位處亞熱帶和熱帶地區，四季不分明、季節性流行不明顯，幾乎整年皆有案例。感染呼吸道融合病毒會有以下的症狀，與感冒非常類似：認識呼吸道融合病毒呼吸道融合病毒為何是「小小孩的呼吸道殺手」？前述提到病毒喜歡攻擊患者的下呼吸道，這會讓氣管發炎、產生黏液阻塞，而 2 歲以下的嬰幼兒本身氣管就已經又細又狹窄，遇到充滿病毒的黏液症狀就會更加嚴重。面對如此危險的病毒，預防遠比治療還要更加重要。呼吸道融合病毒主要的傳染途徑是飛沫與接觸傳染，因此最好的預防方式就是保持良好衛生習慣，勤洗手減少接觸到病毒的機會；出入人多場所時可以戴口罩，特別是有病毒流行時少出入公共場所，從日常做好防護才能保護寶貝遠離病毒的威脅。|https://heho.com.tw/archives/242615|https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSnsX9oaixf7ndElNFnVP8GX-FIiB7NVq_oBIVHiV8PLyq7lL10Eh_Qc9XJ
呼吸道感染_20200525_3|2020-05-25|呼吸道感染|新冠全球大流行！醫師：攝取維生素D比以往來得更重要- Heho健康|哈佛醫學院和布萊根婦女醫院的醫學教授曼森博士在5月11日受訪時指出，維生素D具有抵抗新冠肺炎的潛力。正值新冠肺炎（COVID-19）全球大流行之際，維生素D可能比以往任何時期都來得重要。長久以來，我們知道維生素D對於骨骼健康、心臟代謝健康、和固有的免疫力（innate immunity）都至關重要，並能增強抵抗病毒的免疫功能。越來越多的證據顯示，維生素D的濃度可能與感染新冠肺炎的風險以及感染後生病的嚴重程度有關。體外呼吸道細胞培養的實驗已經證實，維生素D具有免疫調節作用，可以減輕發炎，這可能有助於減緩新冠肺炎在肺部產生細胞激素的風暴。臨床個案研究顯示，呼吸道感染患者血中的25-羥基維生素D（25-hydroxy-vitamin D）含量偏低。直接來自新冠肺炎患者的證據是東南亞三家醫院的一項觀察性研究，顯示新冠肺炎重症患者維生素D缺乏的盛行率，比輕症患者高出許多。尤其，住院時維生素D缺乏的新冠肺炎患者，變成重症的風險比維生素D含量足夠的患者高出8倍之多。因此，維生素D有助於抵抗呼吸道感染的證據變得很有說服力。所以，醫生要鼓勵患者到戶外運動，同時保持適當的社交距離。即使偶而曬曬太陽，也會增加皮膚中維生素D的合成。如何從飲食中攝取維生素D飲食也很重要。建議大家養成閱讀食品標籤上維生素D含量的習慣，選擇含量較高的食物，例如添加D的強化麥片，和曬乾的菇類等。對於無法到戶外活動且飲食中維生素D攝取量較低的患者，應考慮使用補充劑。維生素D建議的膳食量為成人每天 600-800 IU（國際單位），但在新冠肺炎期間，每天補充 1000-2000 IU的維生素D也是合理的。不過，正常情形下並不建議成人每日超過 2000 IU的維生素D，以避免中毒的危險。挑選維生素D要注意！型態有分為兩種維生素D主要有兩種型態。維生素D2又稱為鈣化醇（calciferol）活性較低，主要來自植物的酵母菌和曬乾的菇蕈類。另一種則是維生素D3又稱為膽鈣化醇（cholecalaiferol），大部分為動物來源如從綿羊毛提取的羊毛脂，少數的素食來源也含有維生素D3如地衣和藻類。因為D2和D3都可以通過身體代謝產生具有活性的1,25(OH)2維生素D，所以兩種都有效。不過，維生素D3的生物利用率以及提高血清維生素D濃度較維生素D2高，在選擇時可以考慮以維生素D3為主要來源。由於攝取非活性的維生素D，身體可以依照自己的需求來轉化成為需要的活性D，食用上比較安全，非活性的維生素D3單位大都是以IU標示。對於素食者而言，可以選擇從藻類或苔癬100%非動物來源的非活性維生素D3，不但愛心又環保、食用比較安全、而且生物利用率也高。另外，因為液態維他命的吸收效果高於膠囊和錠劑，液體的植物來源、非活性的維生素D3也是個不錯的選擇。|https://heho.com.tw/archives/85024|https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRomxIXoARoNgGqNiIvfT_dioPoW_4Qspd6Gtu_aJG7F6eHkF_D-VrIDbea
呼吸道感染_20220417_4|2022-04-17|呼吸道感染|COVID-19／Omicron 更易致上呼吸道感染！兒童尚未接種疫苗，專家 ...|本土疫情連日破千例，而根據美國醫學協會刊登一項研究顯示，Omicron 更有可能在兒童中引起上呼吸道感染，進而使兒童出現心臟病及其他並發症發作的風險。 Omicron 讓兒童更易出現哮吼研究人員表示，由於兒童呼吸道較狹窄，因此上呼吸道感染更容易出現併發症，研究發現染疫兒童出現上呼吸道感染比率從 2020 年 3 月至 2021 年 5 月的 1.5% 上升至 2021 年 12 月至 2022 年 2 月的 4.1%。因染疫疾上呼吸道感染住院的兒童中，有 21.1% 出現重症，需要採取輔助措施幫助孩童呼吸，此外，美國 CDC 也表示，在 Omicron 為主流病毒株時期，兒童因新冠肺炎住院的可能性是 Delta 時期的 4 倍。研究人員表示，Omicron 可能比肺部更容易感染上呼吸道，從而降低了嚴重的肺部疾病的風險，但增加了上呼吸道疾病的風險，尤其上呼吸道疾病更容易發生在兒童。目前美國 5 歲以下孩童上未接種疫苗，台灣則是 12 歲以下孩童暫時不能接種新冠肺炎疫苗，不少家長也擔心，尚未接種疫苗的寶貝們恐成為染疫高危險族群，面對來勢洶洶的疫情，根據《富比士》報導，美國兒科學會全國發言人 Natasha Burgert 也給出幾點意見，幫助家長確保孩童安全。懷孕期間接種新冠疫苗為了保護胎兒不要感染新冠肺炎，建議準媽咪們懷孕時應接種新冠肺炎疫苗，研究一直表明染疫孕婦對母嬰健康的風險更高，懷孕期間接種疫苗也能迅速保護嬰兒免受病毒侵害，研究表明，孕婦通過胎盤將持久抗體傳遞給胎兒，這些抗體在出生後的幾個月內能保護新生兒不會染疫。照顧兒童者也應接種新冠疫苗這是一種保護策略，助於兒童不易染病，若父母、孩童照顧者皆接種疫苗，對於孩童就像是行成保護罩，降低感染風險。新冠肺炎容易在家中傳播，而根據研究表示，若成年人接種新冠疫苗，傳給高風險族群的機率會降低，因此，在幼兒園、家中、兒童中心等許多孩童聚集場所，建議照顧者都要打滿新冠肺炎疫苗。維持好免疫力當家中有未接種疫苗的孩童，家長可以透過以下幾種方式增強孩子免疫力，降低染疫機率：|https://heho.com.tw/archives/214997|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRntFlk3zuJxos3N-mwAQEw4_2sZMNnQIQM77pRIqfesgN_twXuE-iO63MQ
呼吸道感染_20221014_5|2022-10-14|呼吸道感染|小小孩呼吸道殺手！秋冬呼吸道融合病毒感染增多，施打RSV 單株 ...|時序進入秋冬時節，林口長庚紀念醫院新生兒科自 9 月下旬至 10 月初，短短 2 週內就已收治 6 名罹患呼吸道融合病毒（RSV）的未滿月小嬰兒，醫師特別提醒家長，若是家中有高危險族群的嬰幼兒，應及早施打 RSV 單株抗體，降低感染風險以減少併發症的發生。好發於秋冬季的呼吸道融合病毒（RSV），是造成嬰幼兒細支氣管炎最常見原因。林口長庚紀念醫院新生兒科主任江明洲指出，台灣自 2021 年爆發 COVID-19 疫情後，已連續 15 個月沒有呼吸道融合病毒感染個案，不過近來隨著防疫政策鬆綁、疫情解封，今年官方報告的首例 RSV 感染病例已在 9 月出現。好發於 2 歲以下嬰幼兒 一年四季都需提防發生林口長庚紀念醫院新生兒科於 9 月下旬至 10 月初，已經收治了 6 名未滿月、因呼吸道融合病毒感染而住院的小嬰兒，年齡介於 2 至 3 週大；其中一位是出生 35 週的早產兒、2 位是出生體重小於 2500 公克的低出生體重兒，更有 2 位因呼吸窘迫，被收治到新生兒加護病房接受呼吸器治療。林口長庚紀念醫院副院長邱政洵特別提醒，呼吸道融合病毒是單股的 RNA 病毒，好發於秋季至春季，但因台灣位處亞熱帶，四季不顯著，所以一年四季都會出現，家長更需特別防範。初期症狀類似感冒 聽到咻咻聲和喘鳴聲得當心呼吸道融合病毒主要藉由飛沫或接觸傳染，潛伏期約為 2 至 8 天，會在人類呼吸道細胞繁殖並破壞，造成發炎反應，使細支氣管水腫並發生黏液阻塞。呼吸道融合病毒初期症狀和感冒類似，會出現發燒、流鼻水、咳嗽、呼吸急促、餵食困難、肺部痰液增加，或是呼吸時會聽到「咻咻咻」的喘鳴聲等症狀。由於嬰幼兒的呼吸道相對狹小，更容易因為增多的痰液，造成小氣道阻塞，而發生呼吸急促、呼吸窘迫，甚至出現發紺或呼吸暫停。早產兒和免疫不全寶寶風險高 施打 RSV 疫苗提高抵抗力一般健康的寶寶若感染 RSV 住院，平均住院天數約需 5 至 7 天，但對於肺部發育未完全的早產兒，或是免疫功能不全的小寶寶，例如先天性心臟病或神經肌肉疾病，就是非常棘手的問題，嚴重者會造成呼吸困難，住進加護病房和重症的風險就相對非常的高。由於呼吸道融合病毒感染尚無特效療法，治療上通常以支持性療法為主，包括氧氣給予、化痰等，因此醫師呼籲防疫勿鬆懈，特別是高危險族群的嬰幼兒，更該施打 RSV 單株抗體，降低感染風險與減少併發症的發生。例如未滿 33 週或合併慢性肺病的早產兒，以及符合條件的先天性心臟病童，建議施打 RSV 疫苗，以提供良好的抵抗力，降低感染風險。江明洲最後也提醒，由於嬰幼兒個案多數是大人傳染小寶寶，因此呼籲家長在照顧家中嬰幼兒時必須勤洗手和消毒，避免帶嬰幼兒出入人潮擁擠的公共場合；家中果有年紀較長的哥哥姊姊，也都要特別留意。|https://heho.com.tw/archives/245561|https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQeO0Yf603QjcOyhAguX-WY8LoZDipED23H4OT23OV1JLda8UeP80ECY1w
