article_year|article_month|horoscope|content
2022|12|雙魚座|家庭仍舊是你的生活重心，在2023年3月25日之前，家族中的某人依然需要你多加關注。這主要是由於火星行運於雙子座所致，由於戰神逆行，增加了滯留此地時間，所以該星座對應的領域將繼續令你關注。生於3月7日或前後的雙魚座，這種趨勢尤為強烈，某位你倍加思念的親人可能需要你伸出援手。你似乎正處於轉變的過程中，到三月底，你的思想和心靈將處於新起點。更有可能的是，你會和某個心心念念的人關係更加緊密，付出真心與愛。很明顯，圍繞著你的居所與家庭、賣買其他資產、你正在幫助的某人將有大事發生，也可能是塵埃落定。12月7日滿月將落入雙子座16°，該效力將持續5天左右，同樣落入家庭和家宅的位置。火星將在滿月附近巡行，讓其能量更加活躍。本次滿月與你的守護星海王星相位不甚和諧，這意味著跟房產或家事相關的信息有缺失或者令人困惑。土星則與滿月交好，建議你去尋找實際的、現實的答案，即使事態顯得晦暗不明。你是所有星座中最擅長在信息不充分的情況下做決定的。主要因為直覺力超強，所以聽聽心聲吧。隨著12月的展開，事情開始向好的一面發展。這都要感謝12月23日摩羯座新月，落入掌管代表希望、願望的第11宮，古代占星師稱之為快樂&成功的宮位，內心深處的願望可以實現。當然也代表友誼宮，所以朋友們屆時也會在你的生活中扮演極其重要的角色。更妙的是，擅長製造驚喜和意外的天王星，在滿月這一天和金水雙星和諧互動，鼓勵我們享受愛情與旅行的美好。金星是雙魚座代表他人錢財的8宮的守護星，所以很可能你至少會得到一份漂亮、貴重的禮物。木星將會提高該如願概率，或者你可能收到客戶打來的一大筆費用，及時填補了該償還的賬單，還有餘錢的話，存起來、投資或者按照你的意願揮霍一番都不錯。你正在邁入積極的一年，是近十年來財運最旺，最繁盛的一年。聖誕節前夕，水星也會被新月能量激活。你可能一直擔心某位家人的健康，若真如此，新年前後你可以放下所有擔憂，至少目前是這樣的。辭舊迎新之際，你感到被朋友和家人的溫暖包圍著，美妙到無法言說。
2022|12|巨蟹座|說到巨蟹座的工作啊，你一直選擇默默無聞地在幕後付出，作為掌控全局的角色。巨蟹座領導會毫不吝嗇地幫助其他人提升業務能力，讓手下的人能夠更高效、更出色地完成任務。除此之外，巨蟹還在不斷地做研究，讓自己的工作更加便利。以好萊塢打個比方的話，巨蟹的工作更像是導演或者製片人，而非台上的演員。而幕後往往是最高的權利和影響力所在。這種運營模式將在1月中旬更加明顯，因為火星目前正在逆行。如果巨蟹座未能如願地快速取得進展，那麼這個鍋可以甩給當前逆行中的火星。耐心一些，到了2023年，一切都會好起來，並在節後越來越順利。12月7日的雙子座滿月是一個信號，代表巨蟹座在幕後的工作將達到高潮。現在是時候休息一下，呼吸新鮮空氣了。你可能想在午餐時間翹個班，去買買聖誕節的禮物。火星的小老弟兒水星也將在12月底開始今年最後一次逆行（12月29-2023年1月18日），所以，你的聖誕購物最好在12月15日之前就搞定，因為水逆正式開始前2週就將進入停滯期。最近，好運使者木星在雙魚座，其實2022年初木星就在該宮位。今年巨蟹可能會到比以往更遠的地方去旅行，如果沒有的話，巨蟹可能也會搭乘飛機回老家拜訪父母或其他摯愛親友。木星在雙魚座停留至12月20日，巨蟹將愉快地遠行。如果你所在的跨國公司大領導是涉外人士，事情也會朝有利於巨蟹座事業發展的方向推進，與國外領導的關係良好，除了文化的不同，你的工作將進展順利，並得到對方讚賞。從事出版和傳媒行業的巨蟹座，展示自己才華的機會將增多。巨蟹座甚至會被委以重任，處理更為複雜的項目，因為過往的成就證明了你可以出色地完成這些任務。其他方面的收穫還包括法律事務，以及獲得高等院校相關學位的有關事宜。12月20日，木星將回歸白羊座，直至2023年5月16日，木星今年5月10日-10月27日在雙魚座，也就是巨蟹的第九宮內，你在工作中的出色表現將受到關注和讚賞。到2023年3月21日的新月或4月19日的白羊座日食時，巨蟹座的持續輸出和貢獻，將為自己贏得新的職務或晉升。保持出色的表現，你已經得到了貴賓客戶的注意，這段時間，就是讓他們看到你在成功道路上留下令其印象深刻的成果的時候了！隨著12月的深入，巨蟹也將更加關注自己的個人生活。無法外出旅行的巨蟹座，就將家里布置得更加溫馨吧，邀請朋友和家親戚到你家做客。12月23日的摩羯座新月將標誌著巨蟹和伴侶迎來新的紀元。聖誕節或跨年夜，你們可能會交換戒指，並許下諾言。新月期間，大半個太陽系的成員都在摩羯座裡熱鬧地開派對，無疑，巨蟹將專注在一對一的關係中。驚喜之神天王星還與愛神金星迸發出浪漫的火花；同時，天王星與同在摩羯座的溝通之神水星也呈友愛相位。當冬日的雪花落下（當然了南半球剛剛開春兒），巨蟹可能會結婚、訂婚，或者在霓虹閃爍的燈光映襯中許下愛的諾言。有伴的巨蟹座將感受到愛人衷心的陪伴、欣賞與溫暖。今年的聖誕節比你們以往度過的每一次都更特別、更難忘。跨年夜，月亮進入更柔美更和諧的金牛座，巨蟹可能會出走走，吃一頓大餐，或者在家裡與朋友們舉辦小型派對。穿上節日的盛裝，在奢華的餐廳享受燭光晚餐和節日的歡呼，這是多麼愉快的夜晚啊！如果你那裡能放煙花，就穿得暖暖和和地去外面欣賞吧！畢竟如此迷人的夜晚並不常有。節日快樂！竹子開花節節高的事業和豐富誘人的社交活動，也在前方等著你喲！
2022|12|天蠍座|天蠍座有兩個守護星，這兩顆行星與其他行星的互動通常對你的運勢非常重要。第一個守護星火星正位於代表他人錢財的你的第八宮，所以你正在密切關注著自己的財務狀況。自從8月20日火星進入你的第八宮，你一直努力儲蓄（就目前的通貨情況來看確實很難），也在考慮是做些投資還是保持現狀。10月25日的天蠍座食相和11月8日的金牛座食相影響到幾乎每個星座的每一個人，對你來說，人際關係和資源是首當其衝。現在請來你的財務顧問一起計劃應對措施吧。考慮到經濟上更多的安全感，很可能你正在思考買房子或公寓。買不買還要取決於你是不是能申請到好的貸款政策。如果滿意，你可能就買了。全球的利率都在升高，搬家之前你需要收集更多的信息。1月21日水瓶座的新月將帶給你最好的選項。1月21日火星恢復順行之前，你可能看不到財務目標的快速發展，所以不要浪費等待的過程，去多做一些有價值的研究。如果你一定要搬家，你可以跟房東多續幾個月，或者與朋友或親戚合住一陣，直到你找到合適的地方。12月7日的雙子座新月和火星落位一致，更加強調了財務在生活中的重要性。以下的區域可能是你要關注的，投資、儲蓄、保險、消費、收稅退稅、佣金、版稅、執照費、獎金、遺產繼承等。你也要確保沒有被他人盜用身份，仔細審查你的銀行賬單和信用卡明細。冥王星正在向你的第四宮家庭宮緩慢移動，這是你生命中的第一次。2023年冥王星待上幾個月後會短暫地返回摩羯座，2024年再回來時將20年長居於此。這說明你將擁有家宅穩定帶來的安全感和經濟收益，這也解釋了你如此關注居住情況（或其他你擁有或租售的所有物）的原因。現在你的旅行宮熱鬧非凡，五顆行星凝聚閃爍，你可能乘飛機或者自駕去找尋美麗的風景，很可能是一家人同行。你可能會說，大家都是假期時間出門遊玩啊，但是也不盡然，很多人還是會選擇居家烹飪家庭美食共享晚餐，不過你可能不是廚房裡的一員哦。美好的假期生活就在前方，出發吧蝎子們！
2022|12|雙子座|火星，這顆高能量的行星，已經在你的星座停留了異常長的時間，在8月20日首次進入到雙子座，並一直在這裡停留到2023年3月25日。你正感受到充沛的精力，但也可能同樣感受到了持續的業績壓力。即便如此，你對事件的控制力遠比你預計的更有力。沒有理由覺得你可能達不到重要之人的期望——你能做到的。談到你的事業，星星們在那裡閃閃發光，就像太陽照耀下的鑽石。木星，這顆象徵好運的行星，其唯一的使命是讓你快樂，拓寬你的視野，最近進入到雙魚座，加入到海王星的隊伍中。起初木星逆行時很勢弱，但他在11月23日轉為了順行，現在正停在你的第十宮，掌管著榮譽、獎項和成就，一直待到12月20日。這是讓你做出成績的時候，因為木星和海王星都守護著雙魚座，它們也落在雙魚座。決定如何在這激動人心的三周里最好地利用好你的時間，因為一旦木星離開，它12年內都不會再回到這個輝煌的事業宮，而且在你的一生中不會再與海王星一起落在雙魚座。雖然你總是能夠與持續位於你事業宮位的海王星（這是個重要點）共同成長，但在12月，你可以完成一場質的飛躍。這種罕見的能量是非常強大的——利用好它吧！12月7日即將到來的雙子座滿月肯定會讓一些具有巨大意義的事情取得成果或達到高潮。土星會非常友好，幫助你穩定出現的消息，支持你建立一個長期的事業或關係。海王星將增加一定程度的混亂，所以要確保你確切地知道需要做什麼，並要求充分地信息披露。火星將與滿月相合，給其賦能，所以這對你來說肯定是個很活躍的時刻。作為雙子座，你在溝通藝術方面很有天賦，所以這告訴我你可能會發表演講，或者會被要求寫一份重要的文件或手稿。或者，如果你是個編輯，你可能手裡有一本很可能成為暢銷書的重要小說，你會完成它。計算機編程、遊戲和軟件開發也在此行列之中，可能某一項正是你在進行的任務。雙子座是雙生星座，所以你可能在同一個類型的工作中同時兼顧著兩項任務。12月23日的新月將與財務機會有關，這些機會將在接下來的幾天或幾週內出現。你的太陽星圖中有兩個以金錢為導向的宮位——這一次照亮的是你代表他人金錢的第八宮。這可能會給你帶來一份寶貴的禮物——可能是來自愛人的訂婚戒指或其他華麗的珠寶。另外，也可能是你在工作中收到的一筆豐盛的獎金或費用。你有著木星與冥王星的對話，這代表著財務上慷慨，所以不要害羞，積極談判吧。天王星將在12月23日的新月中以最友好的方式與金星和水星接觸，所以你很可能被一份在這前後收到的禮物所驚喜到，正值是聖誕節。你甚至可能有機會去旅行，這也會給你帶來自由的感覺。木星在12月20日移動到白羊座，一直呆到2023年5月16日，你會擴大你的朋友圈。你可能會建立一個由志同道合者所組成的全新社區，如果是這樣，請繼續為你的目標所努力，因為你的努力會得到回報。如果你在社交媒體上很是活躍，你的粉絲群體會劇增，這肯定也是個好消息。
2022|12|天秤座|你關注的焦點並不局限於本土，而是放眼全球的，因為火星從8月20日起就在你的第九宮國際關係與企業宮開始營業了，這正是你應該關注的領域。你已經經歷了火星在這個宮位的很多個星期，而且還有好幾個星期要度過——火星要到3月25日才會離開你的第九宮。似乎你的心思都在遙遠的地方，也會大量旅行，又或者你會與海外的某個人進行電子聯繫，但你會感覺真的和這個人在一起。本月，在12月7日的滿月之時，你會看到一個項目或目標的結果。你在做的事情涉及到國際形勢。旅行、移民、或是出版、數字化或廣播項目都會圓滿完成。如果你的法律事務接近尾聲，它可能會帶來令人欣慰的安全感。無論這個時候發生什麼，土星都會向這次滿月發送一束友好的光束，所以對你來說應該一切都會非常順利。木星和海王星在4月12日的時候形成了一次歷史性的合相，然後由於他們運行的軌跡非常不同，所以一直在緩慢分離。然而，木星在7月28日開始逆行，然後一直在逐漸再次靠近海王星——這是個好消息。這個意義重大，因為這兩顆行星現在都在雙魚座，又都是雙魚座的守護星，這使得這一對組合超級來電。（在海王星于1846年被發現之前，木星曾是雙魚座的守護星。）要預估任何有關雙魚座的事情，這兩顆行星現代占星家們都會看。不過木星將在12月20日離開雙魚座，12年都不會再回來，而屆時海王星將會在白羊座，所以這兩顆行星在我們這輩子都不會再在雙魚座重逢了。木星和海王星在你的第六宮日常任務宮碰面。雖然他們不會形成合相，但也會精確到8°以內。上個月11月23日木星恢復順行，所以從上個月他們只相隔6°開始，木星就一直在離海王星越來越遠。這完全是好消息，因為它代表了一個難得的機會，可以去從事富有宏的藝術性和表現力的項目。12月早期可以去尋找並從事這樣的項目。12月20日，木星會回到白羊座，並把他的金色光速照耀到你的婚姻與伴侶／合作宮。這將使你成為屆時以及未來幾個月裡結婚的所有星座中最幸運的。抑或，你可能會在12月20日至5月16日（這天木星將離開白羊座）期間輕鬆受益於伴侶的繁榮。如果上述兩種可能性都沒有引起你的共鳴，那麼你也會有機會組成事業上的同盟，可能會取得很好的效果。你合作的那個人可能會成為你新的生意夥伴或合作方。比如，你可能會選擇簽下一位新的會計、律師、代理人、公關、婚禮策劃、房產經紀人、獵頭或其他和你一對一工作的機密搭檔。到了12月23日發生在摩羯座的華麗新月之時，你的家人對你來說就意味著一切——你會無法滿足於只見到他們。在這個節日期間你會迎來一場重要的家庭團聚，如果是這樣的話，那一定會在你的記憶中閃耀多年。新月（機會）、太陽（權威、焦點）、金星（幸福）、水星（信息）、冥王星（財務收穫）在你的家宅家庭宮裡歡聚一堂，其實，這群在摩羯座（你的家宅家庭宮）的傑出人物中，金星是非常重要的，因為有你的守護星在，你整個人才會感受到宗親的溫暖環繞。你可能會在客臥招待家人，或者去酒店接你的親戚，帶他們去看看你所在城市的景點和好玩的東西。你可能會被來自家族的一份慷慨禮物所震驚——可能會是現金或珠寶，但可以證明他們有多愛你，並會為了你的幸福做出犧牲。
2022|12|水瓶座|一進入12月，就會感受到節日的熱鬧。你最喜歡的會是12月7日的那個雙子座滿月（影響期：12月5日-12月11日），它點亮你的第五宮（真愛宮）。土星會向這個滿月發射穩定又強大的能量，表明這段戀情將會非常真實且長久。火星也會進一步增強滿月的影響。本月上半月，在雙子座滿月的影響下，夜晚的天空如超大號披薩一般多彩，讓你有機會跟所愛之人共進晚餐。你們會身處一家浪漫雅緻又充滿節日氛圍的餐廳，度過奇妙又私密的夜晚。你也會跟小孩一起去看聖誕老人，給他們講故事等。你也會收到很多來自朋友的邀請，無法全部應邀，可以選擇最有趣的。你的主星天王星也會表現得非常活躍且友好，所以這個滿月對你的影響不容小覷！準備好你們的晚禮服（女水瓶）或最高級的套裝（男水瓶），因為你會外出約會，並成為全場焦點。這將是今年令你感到最快樂的假日，也能讓你在聖誕節之前逃離日復一日的正常生活。這個滿月也會帶來兩個需要創造力的任務，可以非常完美地展現你的才能。而且，木星與海王星同在雙魚座，再加上它們同為雙魚座的主星，所以這次的“木海合相”非常強大。另外，這兩顆行星恰好在水瓶座的第二宮（財帛宮），所以如果你是藝術工作者，則會從繪畫、音樂、舞蹈、劇本創作或設計領域得到一大筆錢。本月下半月與上半月非常不同。屆時你會從各種社交活動中脫身，把時間都放到那些你最關心的人身上。你也會好好思考一下明年的計劃和目標。這種安靜又專注內省的時光會在12月23日的新月影響下，正式「拉開帷幕」。到了本月29日，水星又會開始逆行，一直持續到1月18日才結束。所以，讓自己保持一定的靈活性，去應對各種變化、延誤或取消的情況。有時候，某些變化是令人開心的，只要提前留好空間，就可以在最後一刻決定自己真正想要的。這是可以令你盡情享受的一個月。新年快樂，水瓶座們！
2022|12|牡羊座|假期即將到來，而白羊座們正迫切地需要把買買買任務盡快完成，以免因為供應問題導緻禮物沒有到貨。今年把購物放到年末最後才去完成是不太好的選擇。一來，是你們的主宰星火星仍然逆行在代表交流和運輸的三宮，與此同時，它的好兄弟水星也會在12月29日至1月18日期間逆行，而你們也將在正式水逆前兩週就感覺到節奏的放慢。所以盡可能在12月15日前完成所有的重要任務清單，不止是購物，還包括合同，面試，以及其他重要事項。因為疫情，大家在家都太久了，而你們在下去都快得幽閉症，迫切想要出門去玩。白羊座就是那種行動力迅速會快速奔赴機場，開車上路或者跳上火車出發的那群人。而現在火星又在像徵旅行的雙子座，一切剛剛好。因它仍在在逆行，可以安排早點出發去往目的地，以防延誤晚到。12月7日的滿月發生在雙子座，會給你們額外動力拎包出發。因為火星和滿月和象的關係，可能你們的旅行都是突發奇想，沒有任何計劃的，而這就是生活的樂趣所在。土星同時也會對滿月非常的給力，因此和朋友或者兄弟姐妹重新歡聚，將可能是非常快樂的一件事情。你們在愛情和友誼方面的情感紐帶將會強化，並在滿月12月7日發生後的前後5天裡，會有非常暖心的情景上演。代表禮物和幸運的木星偏離軌道，進入到雙魚座，離開白羊座已經有好幾週了。但是在12月20日的時候，他又會再次的回到白羊座，並一直逗留到2023年的5月16日。木星來到白羊座，意味著你們擁有非常華麗的一整年，從2022年的5月10號開始，但是在中間的10月27日至12月20日，因為木星退回到雙魚座的關係，出現短暫卡頓。如你們所見，木星的回歸正軌非常的及時，正好確保你們擁有一個非常華麗的假期。木星在白羊座，意味著你們的生活當中非常高光的時刻，因為木星每12年才會經歷一個星座，而一旦到2023年的5月16日之後，木星就將離開白羊座，但並不要因此而感到難過。因為你們在現在種下的所有種子，都將會在2023年5月16日之後，直到2024年5月25日的12個月內收穫豐收果實。12月23日發生在摩羯座的新月，將會是來自聖誕老人放在你們聖誕樹下最好的禮物。一個非常不錯的新職位，從而讓你們的事業蒸蒸日上。同時你們還會擁有代表受老闆歡迎的太陽，代表機會的新月，代表人氣的金星，送來好消息的水星以及代表權力的冥王星全部都在你們職業的十宮中閃耀。可能對於大多數人來說，這個假期會是一個非常漫長的時間，但是白羊座是例外。在聖誕期間的兩周里面，你們的運勢簡直勢如破竹。而事業好消息的到來，會非常突然，因為天王星這顆代表意料之外的星星，目前正在金牛座非常活躍，並與在你們事業宮的金星和水星產生相位。所以天王星正在白羊座代表薪資收入的第二宮和代表你的事業名譽的宮位之間產生了聯繫。哇哦，所以你們已經在付諸的努力，現在都在為你們即將收穫的加碼。正是你良好的職業道德、良好的判斷力、經驗和引導下屬走向成功的能力，讓你具備你向上攀登的機會，肩負重任。你將進入一個財務上有利可圖的時期，其持續12個月，每個人都想成為你！
2022|12|獅子座|眾所周知，你是一個熱心慷慨的人。難怪你的朋友都喜歡你。獅子座在黃道十二宮中的角色是教會其他人「如何活出內心的那個孩童」。你有趣、富有創造力、好奇心、幽默並具備實驗精神，與此同時你有高超的品味，對當前的文化藝術知識也很精通。8月20日，活躍的火星進入雙子座，這是代表朋友、熟人和朋友圈的第十一宮。它是星座中最幸福的宮之一，因為它主宰著希望和願望，以及伴隨而來的快樂活動、發展和決定。這是火星一直在旅行的宮位，持續到2023年3月25日。這保證了你將被許多笑臉包圍，也許是因為將舉辦聚會的原因。朋友可能要結婚了，而你可能會扮演重要角色。朋友對你有好處，這個月，他們會把你介紹給其他人。水星將於12月29日開始逆行，但你會在兩週前感覺到，盡快完成假日購物吧。由於水星的情況，你也可能會遇到認識但很久沒見過的朋友，再次聯繫會很有趣。一個重要的社會事件將在12月7日的滿月到來。在接近滿月（12月5日）和完全消退（12月11日）之間都具有影響力。你可能正在參加重要的活動，比如婚禮。也是舉辦慈善籌款晚宴的最佳時機。12月7日，土星將與滿月形成一個可愛的相位，意味著你所做的事將對友誼、對社區工作或慈善事業具備長久的價值。10月27日，7月28日木星逆行回雙魚座，1月到5月中旬，木星曾經停過這裡。木星現在位於你的第八宮，這裡掌管著別人的錢財，意味著如果你的工作是按照績效計算的，比如佣金、版稅或許可費，那麼你會做得很好。你也可以通過前段時間的投資獲得回報。如果從事電影、攝影、音樂、舞蹈、繪畫、插畫、詩歌、編劇或雕塑等創意藝術，你也同樣可以賺到一大筆錢。例如，一個大型的電影工作室可能會購買你書的版權，或出版商可能想出版你的詩集。木星不會停留很長時間，只停留到12月20日，一旦離開將在12年內不再回來。只要稍加努力，你就能獲得一大筆金錢哦。木星和海王星現在再次靠近，就像今年早些時候一樣（它們在去年4月相遇），從那時起它們的軌道變得相距太遠，無法形成相位。現在，情況發生了令人興奮的變化。由於木星逆行，12月木星和海王星的軌道非常接近。這將是你一生中最後一次看到這對行星同時在雙魚座運行。木星和海王星都在雙魚座，這是藝術的象徵，值得注意的是，這兩顆行星都守護著雙魚座，使它們的影響力更加強大、更引人注目。由於海王星環繞太陽需要165年的時間，所以你不會再看到這個相位了，但在13年後，你會看到這兩顆吉星位於不同的宮位——白羊座。這是另一個信號，表明藝術或娛樂行業可能會給你帶來財務上的突破。在12月20日木星移到白羊座後，一直要待到5月16日，你會發現外國人和海外市場對你有利，可能需要旅行並與客戶見面。你會在接下來的幾週內收到宣傳的信息，被要求撰寫一篇重要的專題文章、社論或書籍，或可能被要求去評判比賽、在電視上露面、在大會上發表重要演講。所有這些類型的活動都是引人注目的，可以幫助你關注自己的專業知識，並擴大業務。對溝通的重視可能會給你關於播客的系列想法，或召集一整個團隊來創建某個應用程序。這個月大部分時間都將用於社交活動，隨著12月23日新月的到來，在接下來的幾天和幾周里，你將捲起袖子，專注於聖誕節後的新任務。如果希望找到一份與所從事的工作類似的全職或兼職，都是可能的。代表驚喜的天王星與你日常工作宮位的行星如此友好，你將給高層留下深刻印象，並很容易在2023年5月的新月之後被指定擔任更大的角色。回到12月。儘管火星和水星（從12月29日開始）將逆行，但由於火星在1月12日恢復順行，水星在1月18日緊隨其後，所以到1月中旬，節奏將明顯加快。你需要服用維生素維持身體狀態——你會以光速前進。天王星將在12月23日新月時向金星和水星發出一束微光。由於金星掌管你在行業（或世界）中的聲譽，你會對出現的意外工作項目感到驚訝和高興。如果做得好，到2023年5月，新任務可能會讓你晉升。
2022|12|射手座|對你來說這是一個非常值得紀念的童話般美好的假日月份。8月20日，掌管著能量同時也是你第五宮宮主星的火星行進到了掌管著你承諾關係的第七宮。這自然而然的就在愛情和婚姻之間建立起了聯繫，並且把關懷的終點放到了孩子上——你自己的孩子或者其他的孩子——還可能是你的創造性表達。你肯定會把自己的大部分精力都放在私人生活上——讚！火星這次在你的伴侶宮停留了超級長的一段時間——總共有7個月，從8月20日開始一直延續到3月25日。這是不太常見的情況——大多數時間火星都只會在一個星座停留7個星期而不是7個月！火星現在正在逆行，但是會在1月12日恢復順行。一旦你的守護星木星在12月20日進入到你的第五宮真愛宮，舞台就準備好了。木星，最幸運的星星，會一直在那裡停留到2023年5月16日。如果你正在談戀愛，你可能會在聖誕的時候訂婚，這是一個非常適合向心上人給予承諾的令人激動的時刻。如果你已經結婚了，那麼你的伴侶可能會帶來對你們雙方都有影響的消息，這個消息會以積極正向的方式來改變你們的生活。你還可以通過其他的一些方法來利用這次的星象，那就是建立穩固的合作關係，例如商業夥伴，或者是與經紀人、代理人、新律師，會計師或者其他與你密切合作互惠互利的人達成嚴肅的協議。比較有挑戰的事不僅僅火星會在你星盤的這個領域活躍，12月7日發生在雙子座的滿月也會強調你生活中的這個部分。土星會在滿月的時候發送一個穩定的訊號，所以如果你確實在這個時間節點跟自己重要的另一半做出了承諾，或者形成了一個重要的合作的話，那麼這段關係可以經受得住時間的考驗。你會在滿月發生的12月7日附近5天內完成這個承諾。如果你的生日就是這一天，或者非常靠近這一天（前後加減5天），你會比射手座裡生日在其他時間的人都更加直接的感受到這次滿月。水星會在12月29日至1月18日逆行，你會在逆行開始的前兩週就感受到水星的減速。雖然很多情侶都會在新年前夜訂婚，但是更好的時間還是在12月早些時候。如果你在購物，那麼最好在12月15日之前完成所有禮物的購買，包裝和郵寄——今年因為有火星在逆行，零售商會比往常更快的賣光商品，因為供應鏈可能會出問題。12月23日的新月給了對金錢的強烈重視，而且看起來出人意料的積極。你有5個天體都來到掌管著你個人收支的第二宮——新月，太陽，金星，水星，還有冥王星。在買禮物的時候要仔細注意自己的開銷，或者是你從一個自己從來沒想到過的來源收到了一大筆錢（或者一份很有價值的禮物）。不管怎麼樣，你似乎都是要接受一筆意外之財，它可能是來自於你的家庭，因為所有的星星們都落在了摩羯座，掌管著家庭和祖先。你可能正在購置或者租賃房產，因為代表著好運的木星在10月30日來到了你的家庭宮，但是因為逆行，所以他還沒有完全的展示出自己的強大，要等到11月23日逆行才會結束。雖然在12月和過節的時候搬家或者買賣房子聽起來有些困難，但是你可能會得到一個好到讓你無法放棄的價格，需要快速的行動起來。這也可以解釋你星盤中展現出來的你在12月對金錢的強烈重視。天王星，掌管著意料之外的星星，會在12月22日的時候與水星和金星互動，預示著你突然之間見到的這筆錢可能是來自於你的工作，例如可能是一筆豐厚的獎金。水星掌管著你在行業中不斷發展的聲望和地位，金星掌管著你的日常工作，二者都與新月有關聯。你的伴侶或者合作夥伴甚至可能是一位朋友（這些都是一顆星星管）可能就是你圈子裡的那個人，他會為你的房產交易提供重要訊息，或者把你介紹給一個新的非常有發展潛能的客戶。這位客戶會給你帶來豐厚的報酬幫助你在未來實現自己的夢想。你的星盤在12月裡有非常多的亮點——這會是忙碌且充滿了機遇的一個月！謹慎明智的做出你的選擇，讓你的律師或者其他值得信賴的顧問在你身邊幫你出出主意，這樣你才不會忽視任何一個細節。時間過得很快。
2022|12|金牛座|前段時間，在10月27日，木星，禮物和運氣的給予者，逆回到雙魚座，你第十一宮快樂，幸福，希望，願望和友誼宮。這幾乎可以保證你會有一個令人愉快的，迷人的聖誕假期，充滿社交的可能性以及與朋友團聚。這是木星最後一次造訪雙魚座，因為在12月20日，木星將離開雙魚座，並在十多年內不會回來。充分利用這一閃亮的趨勢，舉辦一個或大或小的聚會來慶祝這個季節。也會發生別的事情，重點是錢。12月7日的滿月將給你的財務狀況帶來高潮。這次滿月將會從代表穩定和長壽的土星那裡收到禮物，所以你可能會聽到自己得到加薪的消息，或者如果是自己創業的話，會有一個聲望很高的新客戶給你豐厚的報酬。如果你欠了錢，你現在就會還清債務。火星將與滿月在雙子座相遇，雙子座是你的第二宮收入和儲蓄宮。火星會鼓勵你消費，你可能會購買一些昂貴的東西。事實上，當月亮進入在雙子座這個雙胞胎星座時，你可能會為特別的人買一份禮物，同時也為自己買一份。聽起來你會喜歡購物的。從最近的8月開始，你的開銷就比平時多，但看起來這是必要的。你可能結婚了，有了孩子，搬進了新房子，或者開始了一項事業，這是幾乎數不清的例子中的四個。正如你所看到的，可能有很好的理由去消費。這種高水平的消費將持續到3月，所以如果你現在不需要這個產品，你可能要推遲一次大額購買。隨著聖誕節的臨近，12月23日摩羯座的新月可能會讓你飛到國外海濱去慶祝這個節日。你可以在羅馬、威尼斯、巴黎、紐約、伊斯坦布爾、上海或蒙特利爾的老城等神奇浪漫的地方敲響新年的鐘聲——你可以自己決定。在同為土象星座的摩羯座裡，你擁有相當多的友好天體：太陽、新月、金星、水星和冥王星。如果你不是去很遠的地方旅行，你可能會在你的城市或家裡招待親戚或朋友，給你的客房增添一些常青樹和小燈的節日裝飾。天王星將美好地面向這些行星和新月，尤其朝向你的守護星金星，和水星。似乎這種對國際旅行或人際關係的重視，可能會帶來一次計劃外但愉快的旅行。木星與冥王星形成一個跨越星座的六分相，這一相位代表著極好的財務機會，像你這種情況，你可能會通過為自己的產品調查國外市場來賺取很多錢。保持警惕，這樣當機會出現時，你就可以向前邁進。你必須果斷，因為幾乎沒有時間去仔細考慮。在你的事業方面，形勢進展非常順利，最重要的是，土星，這個導師級的行星，準備在3月初離開這個位置。從2020年3月21日到7月1日，土星一直是你的肉中刺，然後當土星在2020年12月16日回到水瓶座，又一次如此，直到現在。你的判斷力、經驗、雄心和持續努力工作的意願都接受了考驗。如果你按照土星的要求工作了，你可能會在2023年3月初土星離開後看到回報，二十九年內他都不會回來了。據說，土星總是在門口留下一份禮物，作為對你的感謝，因為你有能力應對他的激烈訓練。一旦木星在五月中旬進入金牛座待上整整一年，你很可能會看到你的回報。木星要進入你的星座，你已經等了十幾年了，這個天相將發生在你的生日左右，一直持續到2024年5月。現在，至關重要的是，當木星到達金牛座時，你一旦擁有了木星帶來的寶貴的黃金能量，你會知道自己要希望實現的是什麼。在接下來的幾個月裡，仔細思考這個問題，確定你的目標的優先級。你越能想像你的新生活和你所希望的，你就越有可能實現你的夢想。
